央视频道,#genre#
CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1综合,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8
CCTV1综合,http://iptva.cn/api/M3u8/Index?id=597&card=99982475359
CCTV1综合,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxKmfj7o-Ch7YrHyxQ4jxs2s/ts
CCTV1综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226667/1.m3u8
CCTV1综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226736/1.m3u8
CCTV1综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV1综合,http://220.178.228.153:1935/live/CCTV1综合/playlist.m3u8
CCTV1综合,http://221.213.43.82:8888/newlive/live/hls/2/live.m3u8
CCTV1综合,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8
CCTV1综合,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV1综合,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1综合,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1综合,http://39.134.61.219/PLTV/88888888/224/3221226896/index.m3u8
CCTV1综合,http://39.134.61.219/PLTV/88888888/224/3221227005/index.m3u8
CCTV1综合,http://39.134.61.219/PLTV/88888888/224/3221227090/index.m3u8
CCTV1综合,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV1综合,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5

CCTV2财经,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2财经,http://39.134.61.219/PLTV/88888888/224/3221226843/index.m3u8
CCTV2财经,http://39.134.61.219/PLTV/88888888/224/3221226929/index.m3u8
CCTV2财经,http://129fy28039.zicp.fun:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8
CCTV2财经,http://221.213.43.82:8888/newlive/live/hls/3/live.m3u8
CCTV2财经,http://223.95.111.98:5555/newlive/live/hls/2/live.m3u8
CCTV2财经,http://cm.wshls.homecdn.com/live/11ecc.m3u8
CCTV2财经,http://cyz32.livehbindex.hbcatv.cn/live/50000020d7ae404dbd55b5d0ba6fe735.m3u8?bitrate=2300&pt=5

CCTV3综艺,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8
CCTV3综艺,http://223.95.111.98:5555/newlive/live/hls/3/live.m3u8
CCTV3综艺,http://123.6.9.146/live/jz-cctv-3/live.m3u8
CCTV3综艺,http://39.134.61.219/PLTV/88888888/224/3221226889/index.m3u8
CCTV3综艺,http://221.213.43.82:8888/newlive/live/hls/4/live.m3u8
CCTV3综艺,http://61.160.152.68/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614vXukv%2Bllu6MCULXDoxJ6upZMyB3BTGL8Fz1cBrzuGpUOEVg8724ObgLgS2tj%2FSq8xWZ1p4rvSaCId2u7KLjn%2F46Kf00Xa0UUCbNAV9EWdHyJMhivxx1S8fcvB8Encq%2Br2%2FNnfOdizLLGdg97cAjQVBrJ5ycvSCIUdxWiGJJfFI3hgreSH2tPUplkub%2BeFttIQ%3D%3D&USERTOKEN=OcdSKDHIYJi7z1i4zpgoeOB0O2BhR0KR
CCTV3综艺,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV3综艺,http://111.20.35.103:6610/yinhe/2/ch00000090990000001839/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV3综艺,http://183.63.15.42:9901/tsfile/live/0003_1.m3u8
CCTV3综艺,http://111.20.40.172/PLTV/88888893/224/3221226397/index.m3u8
CCTV3综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV3综艺,http://bhz0001.8866.org:8686/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://129fy28039.zicp.fun:8181/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CCTV4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4中文国际,http://iptva.cn/api/M3u8/Index?id=600&card=99982475359
